2022-05-07 22:44:47,713 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [107529936.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:10:00', '17:10:00', '18:50:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,065 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,127 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:50:00', '08:00:00', '09:10:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,137 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,203 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [108367382.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:30:00', '08:00:00', '09:50:00', '17:10:00', '18:20:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,235 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [106404572.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,266 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [105868111.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:50:00', '09:40:00', '17:20:00', '18:50:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,278 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [106044243.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:50:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,385 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [106397449.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:40:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,421 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [106343074.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:10:00', '19:00:00', '20:10:00', '25:00:00']})
2022-05-07 22:44:48,437 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [106343074.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:10:00', '19:00:00', '20:10:00', '25:00:00']})
2022-05-07 22:44:48,485 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [103710303.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:30:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,541 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [103747111.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '08:50:00', '17:10:00', '18:40:00', '19:50:00', '25:00:00']})
2022-05-07 22:44:48,582 [MainThread  ] [INFO ]  Evaluations: 8. fitness: [107529936.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:10:00', '17:10:00', '18:50:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,888 [MainThread  ] [INFO ]  Evaluations: 9. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:48,950 [MainThread  ] [INFO ]  Evaluations: 9. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:50:00', '08:00:00', '09:10:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
